name,true_hazardous,predicted_hazardous
(2017 BU),0,0
(2021 PZ9),0,0
(2025 SU3),0,0
(2015 UW67),0,0
(2025 PJ2),0,0
839444 (2014 QX432),1,1
(2025 NQ1),0,0
(2021 PW2),0,0
(2025 QU11),0,0
(2024 EH4),0,0
(2020 KA1),0,0
(2016 ET1),0,0
(2021 JL6),0,0
(2025 RA7),0,0
(2013 WY43),0,0
(2025 EW3),0,0
(2025 HO12),0,0
(2025 RG5),0,0
(2008 JG),1,1
(2025 QW11),0,0
(2023 FF4),0,0
(2018 KX1),0,0
(2025 HF12),0,0
527977 (2008 EY68),0,0
(2024 BR4),1,1
(2020 TH2),0,0
(2025 PX1),0,0
(2025 DQ7),1,0
(2017 BO6),0,0
(2025 JG2),0,0
(2022 SV4),0,0
(2024 LQ1),0,0
(2020 HM5),0,0
(2016 UO41),0,0
(2019 LO1),0,0
(2025 QE2),0,0
(2021 YB),0,0
(2016 TU19),0,0
(2025 FY6),0,0
(2025 ML),0,0
(2012 VC26),0,0
(2024 UV7),0,0
(2025 HB5),0,0
(2020 BD11),0,0
(2025 RU),0,0
(2025 QS11),0,0
(2025 SO6),0,0
(2022 MA3),0,0
(2025 RZ2),0,0
(2023 EY2),0,0
(2025 DA6),0,0
(2021 UP20),0,0
(2015 TT238),0,0
(2025 EU),0,0
(2025 OW7),0,0
(2025 KS6),0,0
(2022 EF4),0,0
(2025 CC3),0,0
(2025 DW),0,0
(2023 RG22),0,0
(2025 RU1),0,0
(2025 DT7),0,0
(2025 QW19),0,0
(2024 TW),0,0
(2023 EJ1),0,0
(2021 GL16),0,0
(2015 XX128),0,0
(2025 DL22),0,0
(2019 TK5),0,0
(2025 DC50),0,0
(2023 UJ),0,0
(2020 OY5),0,0
(2018 DY3),0,0
(2014 QE365),0,0
(2025 SG22),0,0
(2022 UN12),0,0
(2014 KG39),0,0
(2025 BU),0,0
(1999 SF10),0,0
(2016 AU65),0,0
(2021 AH4),0,0
(2018 TX1),0,0
(2025 QX9),0,0
(2023 KO3),0,0
(2025 DU5),0,0
(2012 RR16),0,0
(2025 LH),0,0
(2025 BU4),0,0
(2006 KY112),0,0
(2024 JA15),0,0
(2019 GJ4),0,0
(2021 WR),0,0
(2025 FX11),0,0
(2022 QX1),0,0
(2019 EA2),0,0
(2024 TV6),0,0
(2025 HG2),0,0
(2024 JS),0,0
(2022 SK2),0,0
(2025 CC),0,0
(2023 UJ1),0,0
(2025 QV7),0,0
(2025 AD),0,0
(2024 RW25),0,0
